"crime_id","crime_name","case_id"
"7159","贩卖毒品罪","3634"
"7160","贩卖毒品罪","3635"
"7161","贩卖毒品罪","3636"
"7162","贩卖毒品罪","3637"
"7163","贩卖毒品罪","3638"
"7164","贩卖毒品罪","3639"
"7165","贩卖毒品罪","3640"
"7166","贩卖毒品罪","3641"
"7167","贩卖毒品罪","3642"
"7168","贩卖毒品罪","3643"
"7169","贩卖毒品罪","3644"
"7170","贩卖毒品罪","3645"
"7171","贩卖毒品罪","3646"
"7172","盗窃罪","3646"
"7173","贩卖毒品罪","3647"
"7174","贩卖毒品罪","3648"
"7175","贩卖毒品罪","3649"
"7176","贩卖毒品罪","3650"
"7177","贩卖毒品罪","3651"
"7178","贩卖毒品罪","3652"
"7179","贩卖毒品罪","3653"
"7180","贩卖毒品罪","3654"
"7181","贩卖毒品罪","3655"
"7182","贩卖毒品罪","3656"
"7183","贩卖毒品罪","3657"
"7184","贩卖毒品罪","3658"
"7185","贩卖毒品罪","3659"
"7186","贩卖毒品罪","3660"
"7187","贩卖毒品罪","3661"
"7188","贩卖毒品罪","3662"
"7189","贩卖毒品罪","3663"
"7190","贩卖毒品罪","3664"
"7191","贩卖毒品罪","3665"
"7192","贩卖毒品罪","3666"
"7193","贩卖毒品罪","3667"
"7194","贩卖毒品罪","3668"
"7195","贩卖毒品罪","3669"
"7196","贩卖毒品罪","3670"
"7197","贩卖毒品罪","3671"
"7198","贩卖毒品罪","3672"
"7199","贩卖毒品罪","3673"
"7200","贩卖毒品罪","3674"
"7201","贩卖毒品罪","3675"
"7202","贩卖毒品罪","3676"
"7203","贩卖毒品罪","3677"
"7204","贩卖毒品罪","3678"
"7205","贩卖毒品罪","3679"
"7206","贩卖毒品罪","3680"
"7207","贩卖毒品罪","3681"
"7208","贩卖毒品罪","3682"
"7209","贩卖毒品罪","3683"
"7210","贩卖毒品罪","3684"
"7211","贩卖毒品罪","3685"
"7212","贩卖毒品罪","3686"
"7213","贩卖毒品罪","3687"
"7214","贩卖毒品罪","3688"
