"case_id","crime_id"
"3582","7104"
"3583","7105"
"3584","7106"
"3585","7107"
"3586","7108"
"3587","7109"
"3588","7110"
"3589","7111"
"3590","7112"
"3591","7113"
"3592","7114"
"3593","7115"
"3594","7116"
"3595","7117"
"3596","7118"
"3597","7119"
"3598","7120"
"3599","7121"
"3600","7122"
"3600","7123"
"3601","7124"
"3602","7125"
"3603","7126"
"3604","7127"
"3605","7128"
"3606","7129"
"3607","7130"
"3608","7131"
"3609","7132"
"3610","7133"
"3611","7134"
"3611","7135"
"3611","7136"
"3612","7137"
"3613","7138"
"3614","7139"
"3615","7140"
"3616","7141"
"3617","7142"
"3618","7143"
"3619","7144"
"3620","7145"
"3621","7146"
"3622","7147"
"3623","7148"
"3624","7149"
"3625","7150"
"3626","7151"
"3627","7152"
"3628","7153"
"3629","7154"
"3630","7155"
"3631","7156"
"3632","7157"
"3633","7158"
"3634","7159"
"3635","7160"
"3636","7161"
"3637","7162"
"3638","7163"
"3639","7164"
"3640","7165"
"3641","7166"
"3642","7167"
"3643","7168"
"3644","7169"
"3645","7170"
"3646","7171"
"3646","7172"
"3647","7173"
"3648","7174"
"3649","7175"
"3650","7176"
"3651","7177"
"3652","7178"
"3653","7179"
"3654","7180"
"3655","7181"
"3656","7182"
"3657","7183"
"3658","7184"
"3659","7185"
"3660","7186"
"3661","7187"
"3662","7188"
"3663","7189"
"3664","7190"
"3665","7191"
"3666","7192"
"3667","7193"
"3668","7194"
"3669","7195"
"3670","7196"
"3671","7197"
"3672","7198"
"3673","7199"
"3674","7200"
"3675","7201"
"3676","7202"
"3677","7203"
"3678","7204"
"3679","7205"
"3680","7206"
"3681","7207"
"3682","7208"
"3683","7209"
"3684","7210"
"3685","7211"
"3686","7212"
"3687","7213"
"3688","7214"
"3689","7215"
"3690","7216"
"3691","7217"
"3692","7218"
"3693","7219"
"3694","7220"
"3695","7221"
"3696","7222"
"3696","7223"
"3696","7224"
"3697","7225"
"3697","7226"
"3698","7227"
"3699","7228"
"3700","7229"
"3701","7230"
"3702","7231"
"3703","7232"
"3704","7233"
"3705","7234"
"3706","7235"
"3707","7236"
"3708","7237"
"3709","7238"
"3710","7239"
"3711","7240"
"3712","7241"
"3713","7242"
"3714","7243"
"3715","7244"
"3716","7245"
"3717","7246"
"3718","7247"
"3719","7248"
"3720","7249"
"3721","7250"
"3722","7251"
"3723","7252"
"3724","7253"
"3725","7254"
"3726","7255"
"3727","7256"
"3728","7257"
"3729","7258"
"3730","7259"
"3731","7260"
"3732","7261"
"3733","7262"
"3734","7263"
"3735","7264"
"3736","7265"
"3737","7266"
"3738","7267"
"3739","7268"
"3740","7269"
"3741","7270"
"3742","7271"
"3743","7272"
"3744","7273"
"3745","7274"
"3746","7275"
"3747","7276"
"3748","7277"
"3749","7278"
"3750","7279"
"3751","7280"
"3752","7281"
"3753","7282"
"3754","7283"
"3755","7284"
"3756","7285"
"3757","7286"
"3758","7287"
"3759","7288"
"3760","7289"
"3761","7290"
"3762","7291"
"3763","7292"
"3764","7293"
"3765","7294"
"3766","7295"
"3767","7296"
"3768","7297"
"3769","7298"
"3770","7299"
"3771","7300"
"3772","7301"
"3773","7302"
"3774","7303"
"3775","7304"
"3776","7305"
"3777","7306"
"3778","7307"
"3778","7308"
"3779","7309"
"3780","7310"
"3781","7311"
"3782","7312"
"3783","7313"
"3784","7314"
"3785","7315"
"3785","7316"
"3786","7317"
"3787","7318"
"3788","7319"
"3789","7320"
"3789","7321"
"3790","7322"
"3791","7323"
"3792","7324"
"3793","7325"
"3794","7326"
"3795","7327"
"3796","7328"
"3797","7329"
"3798","7330"
"3799","7331"
"3800","7332"
"3800","7333"
"3801","7334"
"3802","7335"
"3803","7336"
"3804","7337"
"3805","7338"
"3806","7339"
"3806","7340"
"3807","7341"
"3808","7342"
"3809","7343"
"3810","7344"
"3811","7345"
"3812","7346"
"3813","7347"
"3814","7348"
"3815","7349"
"3816","7350"
"3817","7351"
"3818","7352"
"3819","7353"
"3820","7354"
"3821","7355"
"3822","7356"
"3823","7357"
"3824","7358"
"3825","7359"
"3826","7360"
"3827","7361"
"3828","7362"
"3829","7363"
"3830","7364"
"3831","7365"
"3832","7366"
"3833","7367"
"3834","7368"
"3835","7369"
"3836","7370"
"3837","7371"
"3838","7372"
"3838","7373"
"3839","7374"
"3839","7375"
"3840","7376"
"3840","7377"
"3841","7378"
"3841","7379"
"3841","7380"
"3842","7381"
"3842","7382"
"3843","7383"
"3844","7384"
"3845","7385"
"3846","7386"
"3847","7387"
"3848","7388"
"3849","7389"
"3850","7390"
"3851","7391"
"3851","7392"
"3852","7393"
"3853","7394"
"3854","7395"
"3855","7396"
"3856","7397"
"3857","7398"
"3858","7399"
"3859","7400"
"3860","7401"
"3861","7402"
"3862","7403"
"3863","7404"
"3864","7405"
"3864","7406"
"3865","7407"
"3866","7408"
"3867","7409"
"3868","7410"
"3869","7411"
"3869","7412"
"3870","7413"
"3871","7414"
"3872","7415"
"3873","7416"
"3873","7417"
"3874","7418"
"3875","7419"
